number,cost
1,9440.0
2,8126.0
3,10126.0
4,12126.0
5,9375.0
6,8061.0
7,10061.0
8,12061.0
9,9040.0
10,7726.0
11,9726.0
12,11726.0
13,12032.0
14,9180.0
15,13180.0
16,17180.0
17,12032.0
18,9180.0
19,13180.0
20,17180.0
21,12032.0
22,9180.0
23,13180.0
24,17180.0
25,19197.0
26,16131.0
27,21531.0
28,26931.0
29,19305.0
30,16239.0
31,21639.0
32,27039.0
33,19055.0
34,15989.0
35,21389.0
36,26789.0
37,19055.0
38,15989.0
39,21389.0
40,26789.0
41,7226.0
42,9957.0
43,12448.0
44,7585.0
45,9848.0
46,12639.0
48,9044.0
49,12420.0
50,10062.0
51,11351.0
52,10364.0
53,12470.0
54,10351.0
55,11970.0
56,23882.0
57,32882.0
58,53882.0
59,39121.0
60,23882.0
61,32882.0
62,53882.0
63,39121.0
64,23882.0
65,32882.0
66,53882.0
68,23882.0
69,32882.0
70,53882.0
71,39121.0
