number,cost
1,8863.0
2,7942.0
3,9382.0
4,10714.0
5,8838.0
6,7781.0
7,9784.0
8,11088.0
9,8477.0
10,7648.0
11,8932.0
12,10132.0
13,8418.0
14,7396.0
15,9906.0
16,11292.0
17,8464.0
18,7125.0
19,8914.0
20,11136.0
21,8144.0
22,7266.0
23,8806.0
24,11665.0
25,12612.0
26,11325.0
27,13506.0
28,15022.0
29,13400.0
30,11411.0
31,14181.0
32,16508.0
33,12796.0
34,11004.0
35,13485.0
36,15685.0
37,12200.0
38,11282.0
39,12984.0
40,14984.0
41,6908.0
42,6544.0
43,6510.0
44,7128.0
45,6815.0
46,6372.0
48,6333.0
49,5394.0
50,9256.0
51,7969.0
52,9452.0
53,9030.0
54,9052.0
55,8227.0
56,22975.0
57,29482.0
58,44011.0
59,33420.0
60,22669.0
61,29167.0
62,42657.0
63,32332.0
64,22886.0
65,29203.0
66,44138.0
68,22561.0
69,29567.0
70,43869.0
71,33154.0
